distance,trend
556.2357581966947,0.5195
1228.3859641972956,0.4715
1026.9622105303956,0.4945
2448.525450847993,0.508
1954.0243175648484,0.475
3133.18190290061,0.4905
4143.166283231331,0.4745
3743.2750039093507,0.507
4732.367281369262,0.5045
7427.72887024649,0.5075
